t,0
R,1
L,2
w,3
h,4
<C10>,5
<EOS>,6
K,7
C,8
<C12>,9
<SOS>,10
D,11
p,12
k,13
<ACT>,14
F,15
E,16
q,17
V,18
<nblank>,19
a,20
i,21
Y,22
<C8>,23
I,24
r,25
<C16>,26
H,27
P,28
<C14>,29
<blank>,30
Q,31
s,32
N,33
<cblank>,34
S,35
l,36
W,37
G,38
M,39
A,40
v,41
T,42
n,43
c,44
y,45
f,46
<AMD>,47
